file,line,reference,status
sim/result.gd,128,GenCard.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,134,ChangeCard.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,134,ChangeCard.__c__DisplayClass4_0.c,MISSING_FILE_NEEDS_REVIEW
sim/result.gd,160,AddSudanCard.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,160,PlayerExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,170,ChooseOperations.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,197,AllOperations.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,210,NoPromptOperations.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,215,SleepOperation.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,223,CleanRite.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,250,CleanSlot.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,251,__c__DisplayClass4_0.c,MISSING_FILE_NEEDS_REVIEW
sim/result.gd,286,RebirthSudanCard.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,288,GameController.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,302,GameController.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,329,ChangeCardName.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,364,CopyCard.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,370,DelayOff.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,383,HandCardRefresh.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,390,EnableAutoGenSudanCard.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,391,__c__DisplayClass141_0.c,MISSING_FILE_NEEDS_REVIEW
sim/result.gd,418,SetDifficulty.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,419,DifficultyPanelController.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,432,MagicSudan.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,440,BeginGuide.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,440,CloseBeginGuide.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,441,BeginGuideController.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,453,CloseBox.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,453,CloseDeadline.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,454,CloseHelpBtn.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,454,ClosePrestige.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,455,CloseStory.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,479,GameOver.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,479,GameController.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,489,DoBackToRoundBegin.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,496,Confirm.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,527,NoShowOperations.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,542,SuccessOperations.c,FILE_EXISTS_BODY_UNVERIFIED
